Pleknaam	Historical Name	(GvH) Opmerking	(GvH) Wisselvorme	(GvH) Land	Province	(GvH) Kategorie	Description	latitude	longitude
Baynesfield				RSA	KwaZulu-Natal	Dorp	Town	-29.7597222222222	30.3513888888889
Beacon Bay				RSA	Eastern Cape	Voorstad	Urban Area	-32.9694444444444	27.9447222222222
Beaconsfield				RSA	Northern Cape	Gebied-Dorp	Station	-28.7611111111111	24.785
Beaconsfield				RSA	Northern Cape	Gebied-Dorp	Urban Area	-28.7541666666667	24.7836111111111
Bede				RSA	Eastern Cape	Dorp	Group of huts	-32.1997222222222	26.8272222222222
Bedford				RSA	Eastern Cape	Dorp	Town	-32.6783333333333	26.0883333333333
Bedford				RSA	Eastern Cape	Dorp	Station	-32.6844444444444	26.0841666666667
Bedfordview				RSA	Gauteng	Gebied-Dorp	Urban Area	-26.1763888888889	28.1425
Beestekraal				RSA	North West	Nedersetting	Station	-25.3736111111111	27.5969444444444
Begwa				RSA	Limpopo	Nedersetting	Town	-22.780701	30.799987
Bela-Bela				RSA	Limpopo	Dorp	Town	-24.883333	28.283333
Belfast				RSA	Mpumalanga	Gebied-Dorp	Group of huts	-24.9516666666667	31.3708333333333
Belfast				RSA	Mpumalanga	Gebied-Dorp	Town	-25.4213888888889	28.7788888888889
Belfast				RSA	Mpumalanga	Gebied-Dorp	Station	-25.7066666666667	30.0547222222222
Belfast				RSA	Mpumalanga	Gebied-Dorp	Town	-25.6866666666667	30.0336111111111
Bell				RSA	KwaZulu-Natal	Dorp	Kop	-28.9272222222222	29.1277777777778
Bell				RSA	Eastern Cape	Dorp	Town	-33.2477777777778	27.3575
Bella Vista				RSA	Western Cape	Voorstad	Urban Area	-33.3283333333333	19.3197222222222
Bellair				RSA	KwaZulu-Natal	Voorstad	Station	-29.8897222222222	30.9544444444444
Bellair				RSA	KwaZulu-Natal	Voorstad	Town	-29.8922222222222	30.9516666666667
Bellair				RSA	Western Cape	Voorstad	Urban Area	-33.8858333333333	18.6625
Bellevue				RSA	Limpopo	Voorstad	Group of huts	-23.4194444444444	30.4097222222222
Bellevue				RSA	Gauteng	Voorstad	Town	-26.1772222222222	28.07
Bellville				RSA	Western Cape	Stad	Station	-33.9063888888889	18.6272222222222
Bellville				RSA	Western Cape	Stad	Urban Area	-33.8980555555556	18.6277777777778
Belmont				RSA	Free State	Dorp	Town	-28.2411111111111	28.3066666666667
Belmont				RSA	Northern Cape	Dorp	Station	-29.4169444444444	24.3675
Belmont				RSA	Eastern Cape	Dorp	Kop	-32.0205555555556	26.3366666666667
Belvedere				RSA	KwaZulu-Natal	Voorstad	Town	-29.7713888888889	30.7747222222222
Belvedere				RSA	KwaZulu-Natal	Voorstad	Town	-29.5783333333333	31.0861111111111
Belvedere				RSA	Western Cape	Voorstad	Station	-34.0461111111111	22.9922222222222
Benoni				RSA	Gauteng	Dorp	Urban Area	-26.1902777777778	28.3063888888889
Benoni				RSA	Gauteng	Dorp	Station	-26.1980555555556	28.3108333333333
Benrose				RSA	Gauteng	Gebied-Nywerheid		-26.2102777777778	28.0813888888889
Berario				RSA	Gauteng	Voorstad	Town	-26.1333333333333	27.9541666666667
Berea				RSA	Gauteng	Voorstad	Town	-26.1822222222222	28.0533333333333
Berea				RSA	KwaZulu-Natal	Voorstad	Town	-29.8505555555556	31.0019444444444
Berea				RSA	Eastern Cape	Voorstad	Urban Area	-32.9902777777778	27.9172222222222
Bergville				RSA	KwaZulu-Natal	Dorp	Station	-28.7263888888889	29.3480555555556
Bergville				RSA	KwaZulu-Natal	Dorp	Urban Area	-28.7311111111111	29.3516666666667
Bergvliet				RSA	Western Cape	Voorstad	Urban Area	-34.0425	18.4452777777778
Berkshire Downs				RSA	KwaZulu-Natal	Voorstad	Town	-29.7875	30.8783333333333
Berlin		Nou Ntabozuko		RSA	Eastern Cape	Dorp	Town	-32.8833333333333	27.5794444444444
Berlin		Nou Ntabozuko		RSA	Eastern Cape	Dorp	Station	-32.8822222222222	27.5830555555556
Bertrams				RSA	Gauteng	Voorstad	Town	-26.1911111111111	28.0655555555556
Bethal				RSA	Mpumalanga	Dorp	Town	-26.4569444444444	29.4708333333333
Bethal				RSA	Mpumalanga	Dorp	Station	-26.4347222222222	29.4852777777778
Bethanie				NAM	North West	Nedersetting	Urban Area	-25.5552777777778	27.6086111111111
Bethel				RSA	North West	Sendingplek	Group of huts	-26.0636111111111	25.6686111111111
Bethel				RSA	Northern Cape	Sendingplek	Area	-29.8136111111111	17.5419444444444
Bethel				RSA	Northern Cape	Sendingplek	Area	-30.3819444444444	17.8358333333333
Bethelsdorp				RSA	Eastern Cape	Dorp	Urban Area	-33.8877777777778	25.51
Bethlehem				RSA	Free State	Dorp	Urban Area	-28.2308333333333	28.3088888888889
Bethlehem				RSA	Free State	Dorp	Station	-28.2236111111111	28.3027777777778
Bethlehem				RSA	KwaZulu-Natal	Dorp	Group of huts	-29.8052777777778	29.8683333333333
Bethulie				RSA	Free State	Dorp	Station	-30.4905555555556	25.9991666666667
Bethulie				RSA	Free State	Dorp	Urban Area	-30.4963888888889	25.9747222222222
Bezuidenhoutsvallei				RSA	Gauteng	Voorstad	Town	-26.1888888888889	28.0822222222222
Bhaziya	Baziya			RSA	KwaZulu-Natal	Nedersetting	River (not specified)	-28.217171	31.566279
Bholothwa				RSA	Eastern Cape	Dorp	Village	-31.9833	27.2
Bholothwa	Bolotwa			RSA	Eastern Cape	Dorp	Police_Station	-31.983333	27.2
Bholothwa	Bolotwa			RSA	Eastern Cape	Dorp	River (not specified)	-31.983333	27.183333
Bhongweni				RSA	Gauteng	Gebied-Dorp	Town	-26.1655555555556	27.7275
Bhongweni				RSA	Eastern Cape	Gebied-Dorp	Group of huts	-31.9972222222222	28.9647222222222
Bhongweni				RSA	Eastern Cape	Gebied-Dorp	Group of huts	-32.19	28.7397222222222
Biesiesvlei				RSA	North West	Dorp	Settlement	-26.3913888888889	25.9030555555556
Birchleigh				RSA	Gauteng	Voorstad	Station	-26.0669444444444	28.235
Birchleigh				RSA	Gauteng	Voorstad	Urban Area	-26.0580555555556	28.2369444444444
Birdhaven				RSA	Gauteng	Voorstad	Town	-26.1394444444444	28.0561111111111
Bishop Lavis				RSA	Western Cape	Voorstad	Urban Area	-33.9486111111111	18.5758333333333
Bishopscourt				RSA	Western Cape	Voorstad	Urban Area	-33.9886111111111	18.4466666666667
Bisley				RSA	KwaZulu-Natal	Voorstad	Station	-29.6572222222222	30.3836111111111
Bisley				RSA	KwaZulu-Natal	Voorstad	Town	-29.6491666666667	30.3894444444444
Bitterfontein				RSA	Western Cape	Dorp	Station	-31.0375	18.2655555555556
Bitterfontein				RSA	Western Cape	Dorp	Town	-31.0361111111111	18.2661111111111
Bizana				RSA	Eastern Cape	Dorp	Town	-30.8588888888889	29.8530555555556
Bizana				RSA	Eastern Cape	Dorp	Perennial	-31.5980555555556	29.3825
Bizana				RSA	Eastern Cape	Dorp	Group of huts	-31.5861111111111	29.3727777777778
Bizana				RSA	Eastern Cape	Dorp	Non Perennial	-32.6158333333333	27.2116666666667
Blackheath				RSA	Gauteng	Voorstad	Town	-26.1344444444444	27.9741666666667
Blackheath				RSA	Western Cape	Voorstad	Station	-33.9641666666667	18.7022222222222
Blackheath				RSA	Western Cape	Voorstad	Urban Area	-33.9583333333333	18.7027777777778
Blackhill				RSA	Mpumalanga	Dorp	Station	-25.9497222222222	29.1458333333333
Blackridge				RSA	KwaZulu-Natal	Voorstad	Station	-29.6097222222222	30.3163888888889
Blackridge				RSA	KwaZulu-Natal	Voorstad	Town	-29.6094444444444	30.3186111111111
Blairgowrie				RSA	Gauteng	Voorstad	Urban Area	-26.1111111111111	28.0075
Blanco				RSA	Western Cape	Dorp	Urban Area	-33.9472222222222	22.4147222222222
Blinkwater				RSA	Limpopo	Nedersetting	Group of huts	-23.4097222222222	30.3311111111111
Blinkwater				RSA	Mpumalanga	Nedersetting	Perennial	-25.5697222222222	31.1444444444444
Blinkwater				RSA	Free State	Nedersetting	Mouth	-27.8166666666667	29.6727777777778
Blinkwater				RSA	KwaZulu-Natal	Nedersetting	Mouth	-28.3425	30.1652777777778
Blinkwater				RSA	KwaZulu-Natal	Nedersetting	Kop	-29.2647222222222	30.4238888888889
Bloemfontein				RSA	Free State	Stad	Station	-29.1186111111111	26.2269444444444
Bloemfontein				RSA	Free State	Stad	Urban Area	-29.1158333333333	26.15
Bloemhof				RSA	North West	Dorp	Town	-27.6461111111111	25.6066666666667
Bloemhof				RSA	Western Cape	Dorp	Urban Area	-33.8794444444444	18.6488888888889
Bloubergrant				RSA	Western Cape	Gebied-Dorp	Urban Area	-33.8163888888889	18.4786111111111
Bloubergstrand				RSA		Voorstad	Urban Area	-33.8	18.45
Bloubergstrand				RSA	Western Cape	Voorstad	Sandy Area	-34.3244444444444	18.4227777777778
Blue Downs				RSA	Western Cape	Voorstad	Urban Area	-34	18.6975
Bluegum View				RSA	Gauteng	Voorstad	Town	-26.3816666666667	28.3933333333333
Bluff				RSA	Northern Cape	Voorstad	Kop	-28.9286111111111	17.4583333333333
Blythswood				RSA	Eastern Cape	Sendingplek	Town	-32.2202777777778	27.9927777777778
Boardwalk Manor				RSA	Gauteng	Voorstad	Residential Town	-25.8	28.333333
Boardwalk Villas				RSA	North West	Gebied-Dorp	Township	-25.783333	26.316667
Bobididi				RSA	Limpopo	Gebied	Kop	-23.61	28.1025
